date,team1,team2,score1,score2,win,lose,pre_win,pre_lose,pre_probability
2019/4/23,HOU,MIN,10,4,HOU,MIN,MIN,HOU,0.521797751
2019/4/23,COL,WSN,3,6,WSN,COL,WSN,COL,0.592825355
2019/4/23,LAA,NYY,5,7,NYY,LAA,NYY,LAA,0.545639936
2019/4/23,OAK,TEX,11,5,OAK,TEX,TEX,OAK,0.545189087
2019/4/23,SDP,SEA,6,3,SDP,SEA,SEA,SDP,0.574871638
2019/4/24,CLE,MIA,6,2,CLE,MIA,CLE,MIA,0.521431726
2019/4/24,TBR,KCR,2,10,KCR,TBR,TBR,KCR,0.529104262
2019/4/24,STL,MIL,5,2,STL,MIL,MIL,STL,0.520462209
2019/4/24,COL,WSN,9,5,COL,WSN,WSN,COL,0.592825355
2019/4/24,OAK,TEX,6,5,OAK,TEX,TEX,OAK,0.545189087
2019/4/24,SDP,SEA,1,0,SDP,SEA,SEA,SDP,0.574871638
2019/4/24,TOR,SFG,0,4,SFG,TOR,SFG,TOR,0.524135021
2019/4/24,CIN,ATL,1,3,ATL,CIN,ATL,CIN,0.582507151
2019/4/24,NYM,PHI,0,6,PHI,NYM,PHI,NYM,0.533646902
2019/4/24,BAL,CHW,4,3,BAL,CHW,CHW,BAL,0.514050068
2019/4/24,PIT,ARI,2,11,ARI,PIT,ARI,PIT,0.515379533
2019/4/24,BOS,DET,11,4,BOS,DET,BOS,DET,0.509570946
2019/4/24,CHC,LAD,7,6,CHC,LAD,LAD,CHC,0.563957726
2019/4/24,HOU,MIN,7,1,HOU,MIN,MIN,HOU,0.521797751
2019/4/24,LAA,NYY,5,6,NYY,LAA,NYY,LAA,0.545639936
2019/4/25,PIT,ARI,0,5,ARI,PIT,ARI,PIT,0.515379533
2019/4/25,CHC,LAD,1,2,LAD,CHC,LAD,CHC,0.563957726
2019/4/25,CIN,ATL,4,2,CIN,ATL,ATL,CIN,0.582507151
2019/4/25,PHI,MIA,1,3,MIA,PHI,PHI,MIA,0.519328211
2019/4/25,BOS,DET,7,3,BOS,DET,BOS,DET,0.509570946
2019/4/25,HOU,CLE,1,2,CLE,HOU,CLE,HOU,0.54578152
2019/4/25,LAA,NYY,11,5,LAA,NYY,NYY,LAA,0.545639936
2019/4/25,SEA,TEX,14,2,SEA,TEX,TEX,SEA,0.580070457
2019/4/26,PHI,MIA,4,0,PHI,MIA,PHI,MIA,0.519328211
2019/4/26,WSN,SDP,3,4,SDP,WSN,SDP,WSN,0.508400253
2019/4/26,TOR,OAK,4,2,TOR,OAK,OAK,TOR,0.566213973
2019/4/26,NYM,MIL,2,10,MIL,NYM,MIL,NYM,0.576021874
2019/4/26,ATL,COL,4,8,COL,ATL,ATL,COL,0.502405658
2019/4/26,CHW,DET,12,11,CHW,DET,DET,CHW,0.557109422
2019/4/26,HOU,CLE,3,6,CLE,HOU,CLE,HOU,0.54578152
2019/4/26,MIN,BAL,6,1,MIN,BAL,BAL,MIN,0.522297559
2019/4/26,KCR,LAA,1,5,LAA,KCR,LAA,KCR,0.566425523
2019/4/26,STL,CIN,1,12,CIN,STL,STL,CIN,0.532902278
2019/4/26,ARI,CHC,8,3,ARI,CHC,CHC,ARI,0.558190366
2019/4/26,LAD,PIT,6,2,LAD,PIT,LAD,PIT,0.506709177
2019/4/26,SEA,TEX,5,4,SEA,TEX,TEX,SEA,0.580070457
2019/4/26,SFG,NYY,3,7,NYY,SFG,NYY,SFG,0.632552012
2019/4/27,MIN,BAL,9,2,MIN,BAL,BAL,MIN,0.522297559
2019/4/27,STL,CIN,6,3,STL,CIN,STL,CIN,0.532902278
2019/4/27,TOR,OAK,7,1,TOR,OAK,OAK,TOR,0.566213973
2019/4/27,BOS,TBR,1,2,TBR,BOS,TBR,BOS,0.55031688
2019/4/27,HOU,CLE,4,3,HOU,CLE,CLE,HOU,0.54578152
2019/4/27,SFG,NYY,4,6,NYY,SFG,NYY,SFG,0.632552012
2019/4/27,WSN,SDP,3,8,SDP,WSN,SDP,WSN,0.508400253
2019/4/27,PHI,MIA,12,9,PHI,MIA,PHI,MIA,0.519328211
2019/4/27,NYM,MIL,6,8,MIL,NYM,MIL,NYM,0.576021874
2019/4/27,KCR,LAA,9,4,KCR,LAA,LAA,KCR,0.566425523
2019/4/27,ATL,COL,5,9,COL,ATL,ATL,COL,0.502405658
2019/4/27,ARI,CHC,1,9,CHC,ARI,CHC,ARI,0.558190366
2019/4/27,LAD,PIT,3,1,LAD,PIT,LAD,PIT,0.506709177
2019/4/27,SEA,TEX,1,15,TEX,SEA,TEX,SEA,0.580070457
2019/4/28,BOS,TBR,2,5,TBR,BOS,TBR,BOS,0.55031688
2019/4/28,PHI,MIA,5,1,PHI,MIA,PHI,MIA,0.519328211
2019/4/28,TOR,OAK,5,4,TOR,OAK,OAK,TOR,0.566213973
2019/4/28,NYM,MIL,5,2,NYM,MIL,MIL,NYM,0.576021874
2019/4/28,ATL,COL,8,7,ATL,COL,ATL,COL,0.502405658
2019/4/28,WSN,SDP,7,6,WSN,SDP,SDP,WSN,0.508400253
2019/4/28,CHW,DET,4,1,CHW,DET,DET,CHW,0.557109422
2019/4/28,MIN,BAL,4,1,MIN,BAL,BAL,MIN,0.522297559
2019/4/28,KCR,LAA,3,7,LAA,KCR,LAA,KCR,0.566425523
2019/4/28,STL,CIN,5,2,STL,CIN,STL,CIN,0.532902278
2019/4/28,SFG,NYY,5,11,NYY,SFG,NYY,SFG,0.632552012
2019/4/28,ARI,CHC,5,6,CHC,ARI,CHC,ARI,0.558190366
2019/4/28,LAD,PIT,7,6,LAD,PIT,LAD,PIT,0.506709177
2019/4/28,SEA,TEX,1,14,TEX,SEA,TEX,SEA,0.580070457
2019/4/28,HOU,CLE,4,1,HOU,CLE,CLE,HOU,0.54578152
2019/4/29,BOS,OAK,9,4,BOS,OAK,OAK,BOS,0.534543588
2019/4/29,WSN,STL,3,6,STL,WSN,STL,WSN,0.558488228
2019/4/29,NYM,CIN,4,5,CIN,NYM,CIN,NYM,0.523175787
2019/4/29,ATL,SDP,3,1,ATL,SDP,ATL,SDP,0.512123366
2019/4/29,MIL,COL,5,1,MIL,COL,MIL,COL,0.501755379
2019/4/29,MIN,HOU,1,0,MIN,HOU,MIN,HOU,0.502192576
2019/4/29,CHW,BAL,5,3,CHW,BAL,BAL,CHW,0.539225386
2019/4/29,KCR,TBR,5,8,TBR,KCR,TBR,KCR,0.604744869
2019/4/29,SFG,LAD,3,2,SFG,LAD,LAD,SFG,0.597255218
2019/4/30,PHI,DET,1,3,DET,PHI,DET,PHI,0.514043614
2019/4/30,WSN,STL,2,3,STL,WSN,STL,WSN,0.558488228
2019/4/30,BOS,OAK,5,1,BOS,OAK,OAK,BOS,0.534543588
2019/4/30,MIA,CLE,4,7,CLE,MIA,CLE,MIA,0.566763158
2019/4/30,NYM,CIN,4,3,NYM,CIN,CIN,NYM,0.523175787
2019/4/30,ATL,SDP,3,4,SDP,ATL,ATL,SDP,0.512123366
2019/4/30,MIL,COL,4,3,MIL,COL,MIL,COL,0.501755379
2019/4/30,MIN,HOU,0,11,HOU,MIN,MIN,HOU,0.502192576
2019/4/30,TEX,PIT,4,6,PIT,TEX,TEX,PIT,0.501232085
2019/4/30,ARI,NYY,3,1,ARI,NYY,NYY,ARI,0.633353539
2019/4/30,SFG,LAD,3,10,LAD,SFG,LAD,SFG,0.597255218
2019/4/30,LAA,TOR,4,3,LAA,TOR,LAA,TOR,0.518877994
2019/4/30,SEA,CHC,5,6,CHC,SEA,CHC,SEA,0.552136848
2019/5/1,BOS,OAK,7,3,BOS,OAK,OAK,BOS,0.534543588
2019/5/1,KCR,TBR,3,2,KCR,TBR,TBR,KCR,0.604744869
2019/5/1,TEX,PIT,5,7,PIT,TEX,TEX,PIT,0.501232085
2019/5/1,ARI,NYY,3,2,ARI,NYY,NYY,ARI,0.633353539
2019/5/1,CHW,BAL,4,5,BAL,CHW,BAL,CHW,0.539225386
2019/5/1,KCR,TBR,8,2,KCR,TBR,TBR,KCR,0.604744869
2019/5/1,SEA,CHC,0,11,CHC,SEA,CHC,SEA,0.552136848
2019/5/1,NYM,CIN,0,1,CIN,NYM,CIN,NYM,0.523175787
2019/5/1,PHI,DET,7,3,PHI,DET,DET,PHI,0.514043614
2019/5/1,WSN,STL,1,5,STL,WSN,STL,WSN,0.558488228
2019/5/1,MIA,CLE,4,2,MIA,CLE,CLE,MIA,0.566763158
2019/5/1,ATL,SDP,5,1,ATL,SDP,ATL,SDP,0.512123366
2019/5/1,MIL,COL,4,11,COL,MIL,MIL,COL,0.501755379
2019/5/1,MIN,HOU,6,2,MIN,HOU,MIN,HOU,0.502192576
2019/5/1,CHW,BAL,7,6,CHW,BAL,BAL,CHW,0.539225386
2019/5/1,SFG,LAD,2,1,SFG,LAD,LAD,SFG,0.597255218
2019/5/1,LAA,TOR,6,3,LAA,TOR,LAA,TOR,0.518877994
2019/5/2,ATL,SDP,2,11,SDP,ATL,ATL,SDP,0.512123366
2019/5/2,NYM,CIN,1,0,NYM,CIN,CIN,NYM,0.523175787
2019/5/2,MIN,HOU,8,2,MIN,HOU,MIN,HOU,0.502192576
2019/5/2,MIL,COL,6,11,COL,MIL,MIL,COL,0.501755379
2019/5/2,KCR,TBR,1,3,TBR,KCR,TBR,KCR,0.604744869
2019/5/2,WSN,STL,2,1,WSN,STL,STL,WSN,0.558488228
2019/5/2,CHW,BOS,6,4,CHW,BOS,BOS,CHW,0.623352488
2019/5/2,LAA,TOR,6,2,LAA,TOR,LAA,TOR,0.518877994
2019/5/3,CHC,STL,4,0,CHC,STL,STL,CHC,0.542605831
2019/5/3,BAL,TBR,0,7,TBR,BAL,TBR,BAL,0.587271299
2019/5/3,NYY,MIN,6,3,NYY,MIN,NYY,MIN,0.554793007
2019/5/3,PHI,WSN,4,2,PHI,WSN,WSN,PHI,0.538921614
2019/5/3,PIT,OAK,1,14,OAK,PIT,OAK,PIT,0.577538667
2019/5/3,CIN,SFG,11,12,SFG,CIN,SFG,CIN,0.5562659
2019/5/3,CLE,SEA,2,1,CLE,SEA,CLE,SEA,0.507346266
2019/5/3,DET,KCR,4,3,DET,KCR,DET,KCR,0.502847345
2019/5/3,MIA,ATL,2,7,ATL,MIA,ATL,MIA,0.57929469
2019/5/3,TEX,TOR,0,1,TOR,TEX,TOR,TEX,0.541479959
2019/5/3,CHW,BOS,1,6,BOS,CHW,BOS,CHW,0.623352488
2019/5/3,MIL,NYM,3,1,MIL,NYM,NYM,MIL,0.50581421
2019/5/3,COL,ARI,9,10,ARI,COL,ARI,COL,0.550177568
2019/5/3,SDP,LAD,3,4,LAD,SDP,LAD,SDP,0.644048036
2019/5/4,NYY,MIN,3,7,MIN,NYY,NYY,MIN,0.554793007
2019/5/4,CHC,STL,6,5,CHC,STL,STL,CHC,0.542605831
2019/5/4,CLE,SEA,5,4,CLE,SEA,CLE,SEA,0.507346266
2019/5/4,DET,KCR,3,15,KCR,DET,DET,KCR,0.502847345
2019/5/4,MIA,ATL,2,9,ATL,MIA,ATL,MIA,0.57929469
2019/5/4,BAL,TBR,3,0,BAL,TBR,TBR,BAL,0.587271299
2019/5/4,PHI,WSN,8,10,WSN,PHI,WSN,PHI,0.538921614
2019/5/4,PIT,OAK,6,4,PIT,OAK,OAK,PIT,0.577538667
2019/5/4,LAA,HOU,2,14,HOU,LAA,LAA,HOU,0.58670913
2019/5/4,CHW,BOS,2,15,BOS,CHW,BOS,CHW,0.623352488
2019/5/4,CIN,SFG,9,2,CIN,SFG,SFG,CIN,0.5562659
2019/5/4,MIL,NYM,4,3,MIL,NYM,NYM,MIL,0.50581421
2019/5/4,TEX,TOR,8,5,TEX,TOR,TOR,TEX,0.541479959
2019/5/4,COL,ARI,2,9,ARI,COL,ARI,COL,0.550177568
2019/5/4,SDP,LAD,6,7,LAD,SDP,LAD,SDP,0.644048036
2019/5/5,DET,KCR,5,2,DET,KCR,DET,KCR,0.502847345
2019/5/5,CLE,SEA,0,10,SEA,CLE,CLE,SEA,0.507346266
2019/5/5,MIA,ATL,1,3,ATL,MIA,ATL,MIA,0.57929469
2019/5/5,PIT,OAK,5,3,PIT,OAK,OAK,PIT,0.577538667
2019/5/5,PHI,WSN,7,1,PHI,WSN,WSN,PHI,0.538921614
2019/5/5,CHW,BOS,2,9,BOS,CHW,BOS,CHW,0.623352488
2019/5/5,MIL,NYM,3,2,MIL,NYM,NYM,MIL,0.50581421
2019/5/5,TEX,TOR,10,2,TEX,TOR,TOR,TEX,0.541479959
2019/5/5,COL,ARI,8,7,COL,ARI,ARI,COL,0.550177568
2019/5/5,LAA,HOU,4,10,HOU,LAA,LAA,HOU,0.58670913
2019/5/5,NYY,MIN,4,1,NYY,MIN,NYY,MIN,0.554793007
2019/5/5,CIN,SFG,5,6,SFG,CIN,SFG,CIN,0.5562659
2019/5/5,SDP,LAD,8,5,SDP,LAD,LAD,SDP,0.644048036
2019/5/5,CHC,STL,13,5,CHC,STL,STL,CHC,0.542605831
2019/5/6,CIN,SFG,12,4,CIN,SFG,SFG,CIN,0.5562659
2019/5/6,CLE,CHW,1,9,CHW,CLE,CLE,CHW,0.502120142
2019/5/6,NYY,SEA,7,3,NYY,SEA,NYY,SEA,0.565501177
2019/5/6,BAL,BOS,4,1,BAL,BOS,BOS,BAL,0.595517019
2019/5/6,TOR,MIN,0,8,MIN,TOR,MIN,TOR,0.514009437
2019/5/6,TBR,ARI,12,1,TBR,ARI,TBR,ARI,0.531393822
2019/5/6,MIL,WSN,5,3,MIL,WSN,WSN,MIL,0.531872881
2019/5/6,STL,PHI,6,0,STL,PHI,STL,PHI,0.522429406
2019/5/6,CHC,MIA,5,6,MIA,CHC,CHC,MIA,0.522578156
2019/5/6,HOU,KCR,6,4,HOU,KCR,KCR,HOU,0.513913037
2019/5/6,SDP,NYM,4,0,SDP,NYM,NYM,SDP,0.592500028
2019/5/6,LAD,ATL,5,3,LAD,ATL,ATL,LAD,0.538356356
2019/5/7,CLE,CHW,0,2,CHW,CLE,CLE,CHW,0.502120142
2019/5/7,NYY,SEA,5,4,NYY,SEA,NYY,SEA,0.565501177
2019/5/7,BAL,BOS,5,8,BOS,BAL,BOS,BAL,0.595517019
2019/5/7,PIT,TEX,5,4,PIT,TEX,TEX,PIT,0.574479584
2019/5/7,TOR,MIN,0,3,MIN,TOR,MIN,TOR,0.514009437
2019/5/7,DET,LAA,2,5,LAA,DET,LAA,DET,0.533977956
2019/5/7,TBR,ARI,6,3,TBR,ARI,TBR,ARI,0.531393822
2019/5/7,MIL,WSN,6,0,MIL,WSN,WSN,MIL,0.531872881
2019/5/7,STL,PHI,1,11,PHI,STL,STL,PHI,0.522429406
2019/5/7,CHC,MIA,5,2,CHC,MIA,CHC,MIA,0.522578156
2019/5/7,HOU,KCR,2,12,KCR,HOU,KCR,HOU,0.513913037
2019/5/7,COL,SFG,4,14,SFG,COL,SFG,COL,0.570213579
2019/5/7,OAK,CIN,2,0,OAK,CIN,OAK,CIN,0.505491708
2019/5/7,LAD,ATL,9,0,LAD,ATL,ATL,LAD,0.538356356
2019/5/7,SDP,NYM,6,7,NYM,SDP,NYM,SDP,0.592500028
2019/5/8,PIT,TEX,6,9,TEX,PIT,TEX,PIT,0.574479584
2019/5/8,MIL,WSN,7,3,MIL,WSN,WSN,MIL,0.531872881
2019/5/8,TBR,ARI,2,3,ARI,TBR,TBR,ARI,0.531393822
2019/5/8,STL,PHI,0,5,PHI,STL,STL,PHI,0.522429406
2019/5/8,SDP,NYM,3,2,SDP,NYM,NYM,SDP,0.592500028
2019/5/8,CLE,CHW,5,3,CLE,CHW,CLE,CHW,0.502120142
2019/5/8,NYY,SEA,1,10,SEA,NYY,NYY,SEA,0.565501177
2019/5/8,BAL,BOS,1,2,BOS,BAL,BOS,BAL,0.595517019
2019/5/8,TOR,MIN,1,9,MIN,TOR,MIN,TOR,0.514009437
2019/5/8,DET,LAA,10,3,DET,LAA,LAA,DET,0.533977956
2019/5/8,CHC,MIA,3,2,CHC,MIA,CHC,MIA,0.522578156
2019/5/8,HOU,KCR,9,0,HOU,KCR,KCR,HOU,0.513913037
2019/5/8,OAK,CIN,5,4,OAK,CIN,OAK,CIN,0.505491708
2019/5/8,LAD,ATL,9,4,LAD,ATL,ATL,LAD,0.538356356
2019/5/9,CLE,CHW,5,0,CLE,CHW,CLE,CHW,0.502120142
2019/5/9,DET,LAA,0,13,LAA,DET,LAA,DET,0.533977956
2019/5/9,CHC,MIA,4,1,CHC,MIA,CHC,MIA,0.522578156
2019/5/9,COL,SFG,12,11,COL,SFG,SFG,COL,0.570213579
2019/5/9,OAK,CIN,0,3,CIN,OAK,OAK,CIN,0.505491708
2019/5/9,NYY,SEA,3,1,NYY,SEA,NYY,SEA,0.565501177
2019/5/9,STL,PIT,17,4,STL,PIT,STL,PIT,0.539759184
2019/5/9,HOU,TEX,4,2,HOU,TEX,TEX,HOU,0.570793344
2019/5/9,ARI,ATL,3,2,ARI,ATL,ATL,ARI,0.573794298
2019/5/9,LAD,WSN,0,6,WSN,LAD,WSN,LAD,0.534845761
2019/5/10,CHC,MIL,0,7,MIL,CHC,MIL,CHC,0.554235645
2019/5/10,BAL,LAA,3,8,LAA,BAL,LAA,BAL,0.548522615
2019/5/10,TOR,CHW,4,3,TOR,CHW,CHW,TOR,0.508373117
2019/5/10,BOS,SEA,14,1,BOS,SEA,BOS,SEA,0.528827196
2019/5/10,NYM,MIA,11,2,NYM,MIA,NYM,MIA,0.50042745
2019/5/10,TBR,NYY,3,4,NYY,TBR,NYY,TBR,0.577355969
2019/5/10,HOU,TEX,3,0,HOU,TEX,TEX,HOU,0.570793344
2019/5/10,MIN,DET,6,0,MIN,DET,DET,MIN,0.540278466
2019/5/10,KCR,PHI,5,1,KCR,PHI,PHI,KCR,0.546861101
2019/5/10,STL,PIT,1,2,PIT,STL,STL,PIT,0.539759184
2019/5/10,COL,SDP,12,2,COL,SDP,SDP,COL,0.550351551
2019/5/10,OAK,CLE,4,3,OAK,CLE,CLE,OAK,0.519940083
2019/5/10,ARI,ATL,1,2,ATL,ARI,ATL,ARI,0.573794298
2019/5/10,LAD,WSN,5,0,LAD,WSN,WSN,LAD,0.534845761
2019/5/10,SFG,CIN,0,7,CIN,SFG,CIN,SFG,0.535168506
2019/5/11,BOS,SEA,9,5,BOS,SEA,BOS,SEA,0.528827196
2019/5/11,MIN,DET,3,5,DET,MIN,DET,MIN,0.540278466
2019/5/11,STL,PIT,1,2,PIT,STL,STL,PIT,0.539759184
2019/5/11,CHC,MIL,2,1,CHC,MIL,MIL,CHC,0.554235645
2019/5/11,TOR,CHW,2,7,CHW,TOR,CHW,TOR,0.508373117
2019/5/11,BAL,LAA,2,7,LAA,BAL,LAA,BAL,0.548522615
2019/5/11,OAK,CLE,3,2,OAK,CLE,CLE,OAK,0.519940083
2019/5/11,TBR,NYY,7,2,TBR,NYY,NYY,TBR,0.577355969
2019/5/11,NYM,MIA,4,1,NYM,MIA,NYM,MIA,0.50042745
2019/5/11,KCR,PHI,0,7,PHI,KCR,PHI,KCR,0.546861101
2019/5/11,ARI,ATL,4,6,ATL,ARI,ATL,ARI,0.573794298
2019/5/11,COL,SDP,3,4,SDP,COL,SDP,COL,0.550351551
2019/5/11,HOU,TEX,11,4,HOU,TEX,TEX,HOU,0.570793344
2019/5/11,MIN,DET,8,3,MIN,DET,DET,MIN,0.540278466
2019/5/11,SFG,CIN,4,5,CIN,SFG,CIN,SFG,0.535168506
2019/5/11,LAD,WSN,2,5,WSN,LAD,WSN,LAD,0.534845761
2019/5/12,BAL,LAA,5,1,BAL,LAA,LAA,BAL,0.548522615
2019/5/12,BOS,SEA,11,2,BOS,SEA,BOS,SEA,0.528827196
2019/5/12,TOR,CHW,1,5,CHW,TOR,CHW,TOR,0.508373117
2019/5/12,TBR,NYY,1,7,NYY,TBR,NYY,TBR,0.577355969
2019/5/12,HOU,TEX,15,5,HOU,TEX,TEX,HOU,0.570793344
2019/5/12,MIN,DET,3,5,DET,MIN,DET,MIN,0.540278466
2019/5/12,KCR,PHI,1,6,PHI,KCR,PHI,KCR,0.546861101
2019/5/12,STL,PIT,6,10,PIT,STL,STL,PIT,0.539759184
2019/5/12,COL,SDP,10,7,COL,SDP,SDP,COL,0.550351551
2019/5/12,SFG,CIN,6,5,SFG,CIN,CIN,SFG,0.535168506
2019/5/12,OAK,CLE,3,5,CLE,OAK,CLE,OAK,0.519940083
2019/5/12,ARI,ATL,3,5,ATL,ARI,ATL,ARI,0.573794298
2019/5/12,LAD,WSN,6,0,LAD,WSN,WSN,LAD,0.534845761
2019/5/12,CHC,MIL,4,1,CHC,MIL,MIL,CHC,0.554235645
2019/5/13,PHI,MIL,7,4,PHI,MIL,MIL,PHI,0.557450696
2019/5/13,DET,HOU,1,8,HOU,DET,DET,HOU,0.529056936
2019/5/13,MIN,LAA,4,5,LAA,MIN,LAA,MIN,0.560627745
2019/5/13,CHW,CLE,5,2,CHW,CLE,CLE,CHW,0.572521942
2019/5/13,ARI,PIT,9,3,ARI,PIT,PIT,ARI,0.529162639
2019/5/13,SEA,OAK,6,5,SEA,OAK,OAK,SEA,0.583118514
2019/5/14,CHW,CLE,0,9,CLE,CHW,CLE,CHW,0.572521942
2019/5/14,CIN,CHC,1,3,CHC,CIN,CHC,CIN,0.56698148
2019/5/14,PHI,MIL,1,6,MIL,PHI,MIL,PHI,0.557450696
2019/5/14,WSN,NYM,2,6,NYM,WSN,NYM,WSN,0.525668383
2019/5/14,BOS,COL,4,5,COL,BOS,BOS,COL,0.518282297
2019/5/14,DET,HOU,4,11,HOU,DET,DET,HOU,0.529056936
2019/5/14,MIA,TBR,0,4,TBR,MIA,TBR,MIA,0.609732358
2019/5/14,ATL,STL,3,14,STL,ATL,STL,ATL,0.5381561
2019/5/14,MIN,LAA,4,3,MIN,LAA,LAA,MIN,0.560627745
2019/5/14,KCR,TEX,11,5,KCR,TEX,TEX,KCR,0.586421891
2019/5/14,ARI,PIT,2,6,PIT,ARI,PIT,ARI,0.529162639
2019/5/14,SFG,TOR,3,7,TOR,SFG,TOR,SFG,0.57066466
2019/5/14,LAD,SDP,6,3,LAD,SDP,LAD,SDP,0.508488455
2019/5/14,SEA,OAK,4,3,SEA,OAK,OAK,SEA,0.583118514
2019/5/15,MIN,LAA,8,7,MIN,LAA,LAA,MIN,0.560627745
2019/5/15,NYY,BAL,5,3,NYY,BAL,NYY,BAL,0.564288448
2019/5/15,ARI,PIT,11,1,ARI,PIT,PIT,ARI,0.529162639
2019/5/15,SFG,TOR,4,3,SFG,TOR,TOR,SFG,0.57066466
2019/5/15,NYY,BAL,3,1,NYY,BAL,NYY,BAL,0.564288448
2019/5/15,CIN,CHC,6,5,CIN,CHC,CHC,CIN,0.56698148
2019/5/15,PHI,MIL,2,5,MIL,PHI,MIL,PHI,0.557450696
2019/5/15,WSN,NYM,5,1,WSN,NYM,NYM,WSN,0.525668383
2019/5/15,BOS,COL,6,5,BOS,COL,BOS,COL,0.518282297
2019/5/15,DET,HOU,1,5,HOU,DET,DET,HOU,0.529056936
2019/5/15,MIA,TBR,0,1,TBR,MIA,TBR,MIA,0.609732358
2019/5/15,ATL,STL,4,0,ATL,STL,STL,ATL,0.5381561
2019/5/15,KCR,TEX,1,6,TEX,KCR,TEX,KCR,0.586421891
2019/5/15,LAD,SDP,2,0,LAD,SDP,LAD,SDP,0.508488455
2019/5/16,PHI,MIL,3,11,MIL,PHI,MIL,PHI,0.557450696
2019/5/16,WSN,NYM,7,6,WSN,NYM,NYM,WSN,0.525668383
2019/5/16,DET,OAK,3,17,OAK,DET,OAK,DET,0.557385652
2019/5/16,KCR,TEX,1,16,TEX,KCR,TEX,KCR,0.586421891
2019/5/16,CLE,BAL,14,7,CLE,BAL,CLE,BAL,0.506112981
2019/5/16,CIN,CHC,4,2,CIN,CHC,CHC,CIN,0.56698148
2019/5/16,ATL,STL,10,2,ATL,STL,STL,ATL,0.5381561
2019/5/16,CHW,TOR,4,2,CHW,TOR,TOR,CHW,0.582740705
2019/5/16,SEA,MIN,6,11,MIN,SEA,MIN,SEA,0.531264216
2019/5/16,SDP,PIT,4,3,SDP,PIT,PIT,SDP,0.577439031
2019/5/17,NYY,TBR,4,3,NYY,TBR,TBR,NYY,0.513463935
2019/5/17,PHI,COL,5,4,PHI,COL,COL,PHI,0.505328771
2019/5/17,WSN,CHC,6,14,CHC,WSN,CHC,WSN,0.539358603
2019/5/17,BOS,HOU,1,3,HOU,BOS,BOS,HOU,0.551942564
2019/5/17,CIN,LAD,0,6,LAD,CIN,LAD,CIN,0.606641519
2019/5/17,CLE,BAL,1,5,BAL,CLE,CLE,BAL,0.506112981
2019/5/17,DET,OAK,2,7,OAK,DET,OAK,DET,0.557385652
2019/5/17,MIA,NYM,8,6,MIA,NYM,NYM,MIA,0.550169079
2019/5/17,ATL,MIL,12,8,ATL,MIL,MIL,ATL,0.549805182
2019/5/17,TEX,STL,7,3,TEX,STL,STL,TEX,0.547203402
2019/5/17,CHW,TOR,2,10,TOR,CHW,TOR,CHW,0.582740705
2019/5/17,ARI,SFG,7,0,ARI,SFG,SFG,ARI,0.547430887
2019/5/17,LAA,KCR,5,2,LAA,KCR,LAA,KCR,0.56104598
2019/5/17,SDP,PIT,3,5,PIT,SDP,PIT,SDP,0.577439031
2019/5/17,SEA,MIN,1,7,MIN,SEA,MIN,SEA,0.531264216
2019/5/18,NYY,TBR,1,2,TBR,NYY,TBR,NYY,0.513463935
2019/5/18,CHW,TOR,4,1,CHW,TOR,TOR,CHW,0.582740705
2019/5/18,TEX,STL,2,8,STL,TEX,STL,TEX,0.547203402
2019/5/18,PHI,COL,2,1,PHI,COL,COL,PHI,0.505328771
2019/5/18,CIN,LAD,4,0,CIN,LAD,LAD,CIN,0.606641519
2019/5/18,CLE,BAL,4,1,CLE,BAL,CLE,BAL,0.506112981
2019/5/18,DET,OAK,1,4,OAK,DET,OAK,DET,0.557385652
2019/5/18,MIA,NYM,2,0,MIA,NYM,NYM,MIA,0.550169079
2019/5/18,ATL,MIL,4,3,ATL,MIL,MIL,ATL,0.549805182
2019/5/18,BOS,HOU,3,7,HOU,BOS,BOS,HOU,0.551942564
2019/5/18,WSN,CHC,5,2,WSN,CHC,CHC,WSN,0.539358603
2019/5/18,SDP,PIT,2,7,PIT,SDP,PIT,SDP,0.577439031
2019/5/18,LAA,KCR,6,3,LAA,KCR,LAA,KCR,0.56104598
2019/5/18,ARI,SFG,5,8,SFG,ARI,SFG,ARI,0.547430887
2019/5/18,SEA,MIN,4,18,MIN,SEA,MIN,SEA,0.531264216
2019/5/19,BOS,HOU,4,3,BOS,HOU,BOS,HOU,0.551942564
2019/5/19,NYY,TBR,13,5,NYY,TBR,TBR,NYY,0.513463935
2019/5/19,PHI,COL,7,5,PHI,COL,COL,PHI,0.505328771
2019/5/19,CIN,LAD,3,8,LAD,CIN,LAD,CIN,0.606641519
2019/5/19,CLE,BAL,10,0,CLE,BAL,CLE,BAL,0.506112981
2019/5/19,MIA,NYM,3,0,MIA,NYM,NYM,MIA,0.550169079
2019/5/19,ATL,MIL,2,3,MIL,ATL,MIL,ATL,0.549805182
2019/5/19,CHW,TOR,2,5,TOR,CHW,TOR,CHW,0.582740705
2019/5/19,TEX,STL,5,4,TEX,STL,STL,TEX,0.547203402
2019/5/19,ARI,SFG,2,3,SFG,ARI,SFG,ARI,0.547430887
2019/5/19,LAA,KCR,1,5,KCR,LAA,LAA,KCR,0.56104598
2019/5/19,SDP,PIT,4,6,PIT,SDP,PIT,SDP,0.577439031
2019/5/19,SEA,MIN,7,4,SEA,MIN,MIN,SEA,0.531264216
2019/5/19,WSN,CHC,5,6,CHC,WSN,CHC,WSN,0.539358603
